Date,Open,High,Low,Close,Adj Close,Volume
2020-11-17,269.529999,273.029999,267.809998,269.929993,269.929993,137100
2020-11-18,268.339996,269.559998,263.179993,266.209991,266.209991,164900
2020-11-19,265.660004,272.299988,262.519989,270.609985,270.609985,194700
2020-11-20,270.549988,272.660004,267.799988,268.209991,268.209991,167500
2020-11-23,268.100006,271.679993,265.350006,266.429993,266.429993,240300
2020-11-24,266.440002,267.660004,260.500000,265.670013,265.670013,206700
2020-11-25,265.679993,266.019989,261.579987,263.820007,263.820007,171700
2020-11-27,264.000000,272.000000,261.000000,271.899994,271.899994,150300
2020-11-30,273.720001,274.910004,269.010010,274.100006,274.100006,395400
2020-12-01,272.109985,274.980011,264.000000,268.209991,268.209991,241700
2020-12-02,268.220001,268.220001,263.760010,265.250000,265.250000,169000
2020-12-03,263.790009,267.779999,262.790009,266.839996,266.839996,136800
2020-12-04,265.769989,277.329987,265.700012,272.609985,272.609985,232500
2020-12-07,271.709991,273.399994,268.529999,271.880005,271.880005,196900
2020-12-08,272.000000,275.470001,270.079987,273.640015,273.640015,198800
2020-12-09,272.540009,272.540009,261.230011,266.149994,266.149994,272300
2020-12-10,265.679993,268.850006,261.869995,267.929993,267.929993,221200
2020-12-11,266.200012,267.309998,254.410004,258.450012,258.450012,383100
2020-12-14,260.070007,270.200012,259.540009,267.619995,267.619995,303700
2020-12-15,266.559998,277.450012,262.910004,275.359985,275.359985,259000
2020-12-16,274.149994,282.000000,273.500000,274.140015,274.140015,303000
2020-12-17,275.859985,282.309998,272.429993,281.989990,281.989990,268500
2020-12-18,283.119995,294.480011,276.940002,293.390015,293.390015,896300
2020-12-21,292.760010,296.600006,283.730011,295.809998,295.809998,443200
2020-12-22,295.839996,304.359985,292.529999,302.329987,302.329987,275000
2020-12-23,304.339996,309.130005,300.809998,304.049988,304.049988,187600
2020-12-24,304.450012,306.079987,300.579987,303.410004,303.410004,65700
2020-12-28,307.339996,312.980011,306.160004,312.910004,312.910004,274800
2020-12-29,314.250000,327.910004,314.000000,320.929993,320.929993,390800
2020-12-30,324.589996,328.829987,318.230011,323.920013,323.920013,278800
2020-12-31,324.380005,325.269989,318.570007,324.200012,324.200012,229000
2021-01-04,324.570007,329.320007,308.950012,316.730011,316.730011,364500
2021-01-05,316.790009,326.290009,316.730011,322.600006,322.600006,263000
2021-01-06,315.869995,324.660004,315.720001,321.609985,321.609985,301500
2021-01-07,321.619995,327.649994,318.160004,323.559998,323.559998,330200
2021-01-08,325.040009,330.799988,320.459991,324.059998,324.059998,292700
2021-01-11,320.529999,326.149994,320.000000,324.589996,324.589996,314500
2021-01-12,323.230011,328.589996,322.059998,324.670013,324.670013,339500
2021-01-13,323.529999,327.350006,321.929993,323.709991,323.709991,311000
2021-01-14,322.769989,326.179993,316.829987,318.309998,318.309998,388600
2021-01-15,316.269989,333.660004,316.269989,329.690002,329.690002,381500
2021-01-19,332.630005,338.989990,325.989990,336.299988,336.299988,268000
2021-01-20,339.119995,353.489990,337.839996,347.869995,347.869995,595200
2021-01-21,350.410004,352.279999,341.769989,348.559998,348.559998,298800
2021-01-22,347.910004,349.399994,345.019989,347.899994,347.899994,174400
2021-01-25,348.980011,352.700012,345.339996,348.320007,348.320007,397000
2021-01-26,349.690002,350.000000,339.470001,340.890015,340.890015,455700
2021-01-27,334.380005,342.690002,327.130005,328.600006,328.600006,581900
2021-01-28,340.000000,387.399994,334.369995,355.130005,355.130005,973900
2021-01-29,348.399994,354.690002,337.929993,348.250000,348.250000,423300
2021-02-01,345.640015,353.079987,341.670013,341.859985,341.859985,304600
2021-02-02,346.130005,351.450012,339.660004,347.839996,347.839996,297200
2021-02-03,327.920013,335.970001,321.010010,326.230011,326.230011,792300
2021-02-04,327.730011,332.890015,323.070007,324.779999,324.779999,411300
2021-02-05,326.850006,331.299988,323.850006,327.850006,327.850006,255400
2021-02-08,330.399994,331.559998,323.589996,325.859985,325.859985,211900
2021-02-09,326.600006,327.910004,321.839996,324.480011,324.480011,212600
2021-02-10,326.290009,327.309998,321.670013,324.510010,324.510010,277800
2021-02-11,324.739990,327.429993,319.489990,322.929993,322.929993,273100
2021-02-12,324.540009,328.980011,321.899994,328.359985,328.359985,224100
2021-02-16,330.670013,334.489990,319.220001,322.779999,322.779999,413200
2021-02-17,314.010010,321.739990,314.000000,316.299988,316.299988,349300
2021-02-18,312.140015,326.000000,311.890015,322.079987,322.079987,493300
2021-02-19,320.880005,333.619995,317.010010,331.970001,331.970001,360300
2021-02-22,330.390015,332.839996,321.920013,322.750000,322.750000,324000
2021-02-23,319.540009,323.010010,310.500000,321.690002,321.690002,335100
2021-02-24,320.399994,327.730011,316.750000,323.779999,323.779999,224500
2021-02-25,324.019989,326.929993,317.589996,320.470001,320.470001,302300
2021-02-26,322.010010,327.820007,314.429993,324.549988,324.549988,430000
2021-03-01,329.589996,330.980011,322.940002,324.260010,324.260010,196900
2021-03-02,325.559998,327.779999,318.459991,325.309998,325.309998,204400
2021-03-03,323.140015,325.260010,306.700012,307.600006,307.600006,297100
2021-03-04,306.290009,311.649994,289.519989,295.630005,295.630005,331700
2021-03-05,296.500000,302.570007,281.000000,301.220001,301.220001,411900
2021-03-08,296.450012,305.420013,285.329987,285.920013,285.920013,320300
2021-03-09,291.480011,307.000000,290.829987,296.799988,296.799988,326000
2021-03-10,297.559998,305.510010,295.570007,296.279999,296.279999,256400
2021-03-11,300.910004,306.140015,298.040009,304.369995,304.369995,243200
2021-03-12,300.339996,304.760010,297.250000,303.549988,303.549988,237900
2021-03-15,300.850006,308.559998,299.600006,307.179993,307.179993,206500
2021-03-16,309.029999,315.339996,305.959991,308.690002,308.690002,494200
2021-03-17,305.760010,308.910004,300.480011,304.660004,304.660004,354200
2021-03-18,301.529999,302.320007,296.119995,298.859985,298.859985,351300
2021-03-19,299.910004,303.359985,295.299988,299.809998,299.809998,529600
2021-03-22,302.869995,307.309998,302.239990,306.160004,306.160004,315700
2021-03-23,305.170013,308.890015,297.100006,298.619995,298.619995,290100
2021-03-24,298.739990,301.489990,291.850006,294.209991,294.209991,289400
2021-03-25,294.429993,296.309998,284.589996,294.140015,294.140015,205000
2021-03-26,295.730011,302.049988,290.470001,301.399994,301.399994,236400
2021-03-29,301.940002,307.959991,301.399994,305.769989,305.769989,240300
2021-03-30,301.739990,310.320007,298.959991,309.880005,309.880005,217200
2021-03-31,311.760010,321.829987,307.799988,318.730011,318.730011,328100
2021-04-01,321.100006,322.589996,314.609985,315.339996,315.339996,207700
2021-04-05,315.630005,322.290009,311.480011,321.500000,321.500000,233800
2021-04-06,321.420013,329.019989,317.450012,323.619995,323.619995,245700
2021-04-07,325.230011,325.339996,317.209991,320.619995,320.619995,148000
2021-04-08,324.339996,331.220001,320.670013,329.750000,329.750000,238300
2021-04-09,328.540009,334.000000,326.070007,333.809998,333.809998,178400
2021-04-12,335.089996,335.089996,327.339996,333.109985,333.109985,169100
2021-04-13,334.130005,336.769989,328.429993,329.970001,329.970001,197200
2021-04-14,329.279999,333.390015,328.209991,330.600006,330.600006,171100
2021-04-15,333.480011,339.459991,332.820007,337.589996,337.589996,253300
2021-04-16,334.549988,339.079987,329.820007,330.529999,330.529999,290100
2021-04-19,328.010010,333.049988,327.179993,329.420013,329.420013,180300
2021-04-20,330.790009,334.390015,328.649994,330.100006,330.100006,190900
2021-04-21,331.720001,344.359985,330.059998,342.640015,342.640015,291800
